"title","info"
"stochsim","stochastic simulation (stochastic ODE, discrete- and continuous-time Markov processes) (<#Rpkg GillespieSSA>, <#Rpkg smfsb>)"
"ts","classical time-series (ARIMA) models [@Diggle1990]"
"trajgrad","trajectory/gradient matching [@Ellner+2002;@bolker2008;@raue_lessons_2013]"
"KF","Kalman filtering (basic & ensemble) [@Schnute1994;@bolker2008]"
"MCMC","Markov chain Monte Carlo: [@bolker2008] JAGS/BUGS, [Stan](http://mc-stan.org)"
"sMC","sequential MC/particle filtering: <#Rpkg pomp> [@Ionides+2006;@bhadra_malaria_2011;@king_inapparent_2008]"
"synthetic likelihood","synthetic likelihood [@Wood2010] (<#Rpkg synlik>; <#Rpkg pomp> probe-matching)"
"ABC","Approximate Bayesian computation [@csillery_approximate_2010] (<#Rpkg abc>; <#Rpkg EasyABC>)"
"INLA","Integrated nested Laplace approximation ([INLA](http://www.r-inla.org);
@rue_approximate_2009; [more papers](http://www.r-inla.org/papers))"
"NIMBLE","[NIMBLE](http://r-nimble.org)"
"data cloning","data cloning (@ponciano_hierarchical_2009; <#Rpkg dclone>)"
"spatiotemporal","spatiotemporal models"
