MetCode,SamplerType,Sample ID ,Site,CFN,SUC,TMP,SMZ,CBZ,ACM,IBP,GEM,NPX,TCS,E1,E2,ADS,TST,VLF,o-dm-VLF,n-dm-VLF,SRT,dm-SRT,FLX,CIT,ATN,MTP,PPN
17395,POCIS,Dundas WWTP - POCIS 1,WWTP,1547.1,4186.8,287.3,138.2,796.2,43.7,509.7,27.5,479.7,517.1,44.2,0,28,0,856.1,784.6,36.6,154.2,0,0,0,10.6,54.3,23
17396,POCIS,Dundas WWTP - POCIS 2,WWTP,1418.1,5479.2,306.8,101.7,784.6,48.9,418.5,34.7,306.8,522.2,57.2,0,28.7,0,916.2,837.6,60.6,122,0,0,0,13.9,57.6,27.7
17397,POCIS,Dundas WWTP - POCIS 3,WWTP,1512.5,7452.5,348.8,99.3,604.5,52.3,422.8,28.8,422.4,623.1,52.6,0,26.3,0,929,706.3,67.6,129,0,0,0,11.1,58.7,22.3
17400,POCIS,Swamp - POCIS 1,Control,124.9,27.4,0,0,0,0,26.1,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17401,POCIS,Swamp - POCIS 2,Control,137.4,18.4,0,1.5,0,1.3,27.4,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17402,POCIS,Swamp - POCIS 3,Control,131.7,22,0,0,0,1.6,34.3,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17406,POCIS,West Pond - POCIS 1,Downstream,1326.2,6249.2,33.3,11.5,444.1,9.7,87.9,8.7,167.9,3.4,0,0,16.1,0,408.5,92.4,31.4,5.6,0,0,0,17.2,40.8,1.2
17407,POCIS,West Pond - POCIS 2,Downstream,1319.9,7207.6,24.4,12.1,401.7,6.8,105.9,4.2,176,4.4,0,0,17.3,0,323,108.9,19.2,10.3,0,0,0,12.4,34.6,1.4
17408,POCIS,West Pond - POCIS 3,Downstream,1314.5,7054,28.9,11.7,448.2,10.6,103.3,6,153.5,0,0,0,19.7,0,378.5,103,22.4,3.4,0,0,0,13.4,36.2,1.4
17411,POCIS,Outfall Canal - POCIS 1,Outfall,1350.8,6659.4,54.8,15.7,442.5,10.5,153.9,17.3,158.4,0,0,0,14.5,0,507.4,190.9,40.7,21.3,0,0,0,30.9,47.9,1.8
17412,POCIS,Outfall Canal - POCIS 2,Outfall,1356.8,6792.8,44.1,16,412.2,20.3,152.4,14.8,152.3,0,0,0,13.9,0,354.3,178.8,40,24.2,0,0,0,23.2,39.1,1.9
17413,POCIS,Outfall Canal - POCIS 3,Outfall,1305.6,7979.9,48.1,18.7,444.6,15.6,146.2,11.2,148.1,0,0,0,18.3,0,435.6,236.4,37.5,24,0,0,0,30.9,43.3,2.1
