Company,Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
GoldmanSachs,2017-12-31,255.87,256.6499,252.91,254.76,2519253,0,1,255.87,256.6499,252.91,254.76,2519253
GoldmanSachs,2017-11-30,244.07,250.79,244,247.64,6362854,0,1,244.07,250.79,244,247.64,6362854
GoldmanSachs,2017-10-31,240.68,244.18,240.63,242.48,2658731,0,1,239.9344298,243.4235876,239.8845847,241.7288538,2658731
GoldmanSachs,2017-09-30,235.01,237.6,234.57,237.19,1902308,0,1,234.2819941,236.8639709,233.8433572,236.455241,1902308
GoldmanSachs,2017-08-31,223.25,224.49,222.58,223.74,2240611,0,1,222.5584239,223.7945826,221.8904994,223.046906,2240611
GoldmanSachs,2017-07-31,223.95,225.5,223.05,225.33,1999637,0,1,222.4976029,224.0375506,221.6034398,223.8686531,1999637
GoldmanSachs,2017-06-30,225.31,226.05,221.54,221.9,3153524,0,1,223.8487828,224.5839837,220.1032327,220.4608979,3153524
GoldmanSachs,2017-05-31,218.24,218.3,209.62,211.26,8311998,0,1,216.8246344,216.8842452,208.2605382,209.8899022,8311998
GoldmanSachs,2017-04-30,225.31,226.77,223.72,223.8,2936589,0,1,223.082772,224.5283397,221.5084895,221.5876986,2936589
GoldmanSachs,2017-03-31,230.53,230.8,228.73,229.72,2858414,0,1,228.2511714,228.5185024,226.4689647,227.4491784,2858414
GoldmanSachs,2017-02-28,248,249,245.61,248.06,3626634,0.65,1,245.5484775,246.5385923,243.1821031,245.6078844,3626634
GoldmanSachs,2017-01-31,232.85,234.35,228.16,229.32,5151196,0,1,229.9457033,231.4269941,225.3142009,226.4597324,5151196
GoldmanSachs,2016-12-31,238.51,240.5,237.4,239.45,2355444,0,1,235.5351072,237.5002863,234.438952,236.4633827,2355444
GoldmanSachs,2016-11-30,215.2,220.77,214.97,219.29,6505900,0,1,212.5158487,218.016375,212.2887174,216.5548348,6505900
GoldmanSachs,2016-10-31,177.68,178.5,177.23,178.24,1828018,0,1,174.9268634,175.7341575,174.4838361,175.4781862,1828018
GoldmanSachs,2016-09-30,159.95,162.41,157.8,161.27,4497177,0,1,157.4715882,159.8934707,155.3549023,158.7711349,4497177
GoldmanSachs,2016-08-31,169.25,170.24,167.47,169.46,3688209,0,1,166.6274855,167.6021455,164.8750665,166.8342316,3688209
GoldmanSachs,2016-07-31,159.51,160.19,158.65,158.81,2388134,0,1,156.4380357,157.1049397,155.5945982,155.7515168,2388134
GoldmanSachs,2016-06-30,146.67,148.88,145.37,148.58,4528624,0,1,143.8453181,146.0127562,142.5703545,145.7185339,4528624
GoldmanSachs,2016-05-31,160.4,161.65,158.55,159.48,2915646,0,1,157.3108954,158.5368219,155.4965241,156.4086134,2915646
GoldmanSachs,2016-04-30,163.8,164.68,162.56,164.11,2890849,0,1,159.993527,160.853077,158.7823428,160.296323,2890849
GoldmanSachs,2016-03-31,156.18,157.48,156.06,156.98,2927046,0,1,152.5506046,153.8203945,152.4333933,153.3320138,2927046
GoldmanSachs,2016-02-29,149.75,150.29,148.32,149.53,5505698,0.65,1,146.2700285,146.7974797,144.8732596,146.0551409,5505698
GoldmanSachs,2016-01-31,158.64,161.59,157.78,161.56,4887864,0,1,154.2827777,157.1517527,153.4463986,157.1225767,4887864
GoldmanSachs,2015-12-31,181.16,182.885,180.03,180.23,1773531,0,1,176.1842411,177.8618621,175.0852778,175.2797846,1773531
GoldmanSachs,2015-11-30,190.5,191.08,189.24,190.02,3415027,0.65,1,185.2677078,185.8317774,184.042315,184.8008915,3415027
GoldmanSachs,2015-10-31,189.76,190.09,187.24,187.5,2791644,0,1,183.9189026,184.2387447,181.476472,181.7284688,2791644
GoldmanSachs,2015-09-30,174.58,175.08,172.16,173.76,2913543,0,1,169.2061658,169.6907751,166.860657,168.4114066,2913543
GoldmanSachs,2015-08-31,187.75,190.25,187.18,188.6,2857064,0,1,181.9707735,184.3938197,181.4183189,182.7946092,2857064
GoldmanSachs,2015-07-31,207.4,207.47,204.9,205.07,1644029,0,1,200.3223907,200.390002,197.9077043,198.0719029,1644029
GoldmanSachs,2015-06-30,209.89,210.79,208.15,208.79,4167331,0,1,202.7274185,203.5967056,201.0467967,201.6649564,4167331
GoldmanSachs,2015-05-31,208.23,208.27,205.62,206.19,2255524,0,1,201.1240667,201.1627016,198.603134,199.1536825,2255524
GoldmanSachs,2015-04-30,198.4,199.75,195.4,196.42,2732757,0,1,191.0339129,192.3337908,188.1452953,189.1274253,2732757
GoldmanSachs,2015-03-31,190.34,190.55,187.97,187.97,2145466,0,1,183.2731602,183.4753634,180.9911523,180.9911523,2145466
GoldmanSachs,2015-02-28,191.19,192.5,189.79,189.79,2572381,0,1,184.0916018,185.3529649,182.7435803,182.7435803,2572381
GoldmanSachs,2015-01-31,174.13,175.69,172.32,172.41,3036872,0,1,167.1432172,168.6406238,165.4058415,165.4922304,3036872
GoldmanSachs,2014-12-31,196.65,196.83,193.77,193.83,1566780,0,1,188.7596259,188.9324036,185.9951829,186.0527755,1566780
GoldmanSachs,2014-11-30,188.4,189.49,188.115,188.41,1195167,0.6,1,180.8406485,181.8869134,180.5670838,180.8502472,1195167
GoldmanSachs,2014-10-31,189.24,190,188.12,189.99,3357146,0,1,181.0703179,181.7975079,179.9986694,181.7879396,3357146
GoldmanSachs,2014-09-30,184.41,184.99,182.68,183.57,2037647,0,1,176.4488339,177.0037947,174.7935197,175.6450975,2037647
GoldmanSachs,2014-08-31,178.32,179.5,177.852,179.11,2560600,0,1,170.6217453,171.7508036,170.1739494,171.3776402,2560600
GoldmanSachs,2014-07-31,174.44,175.27,172.79,172.87,3797600,0,1,166.394559,167.1862781,164.8206595,164.8969698,3797600
GoldmanSachs,2014-06-30,166.87,167.91,166.37,167.44,1885200,0,1,159.173699,160.1657326,158.6967598,159.7174098,1885200
GoldmanSachs,2014-05-31,160.42,160.64,159.16,159.81,2206300,0,1,153.0211829,153.2310362,151.8192961,152.4393171,2206300
GoldmanSachs,2014-04-30,158.38,160.36,158.19,159.82,2745700,0,1,150.5615365,152.4437934,150.3809159,151.9304506,2745700
GoldmanSachs,2014-03-31,163.22,164.14,162.22,163.85,2494300,0,1,155.1626088,156.0371928,154.2119741,155.7615087,2494300
GoldmanSachs,2014-02-28,164.81,167.82,164.57,166.45,4291500,0,1,156.6741181,159.5355288,156.4459658,158.2331592,4291500
GoldmanSachs,2014-01-31,163.8,165.979,163.3,164.12,3415500,0,1,155.1896875,157.2541462,154.7159705,155.4928664,3415500
