## from https://peerj.com/articles/1980
## via https://gist.github.com/gavinsimpson/bf11b821be44fc24e30ff8546ad8ca9d
"ssws","site","transect","california.cucumber","dungeness.crab","green.urchin","grunt.sculpin","longfin.sculpin","misc.crab","octopus","orange.cup.coral","red.rock.crab","red.urchin","sailfin.sculpin","scalyhead.sculpin","sculpin","shrimp","spot.prawn","squat.lobster","sunflower.star","white.urchin"
"after","BI4","BI4-A",1,0,0,0,1,0,0,7,0,0,0,1,0,15,0,0,0,1
"after","BI4","BI4-B",6,0,0,1,5,2,0,11,0,0,0,0,0,6,0,0,0,0
"after","BI4","BI4-C",2,0,0,0,2,0,0,5,2,0,0,0,0,3,0,0,0,0
"after","BI4","BI4-D",2,0,0,0,9,4,0,15,0,0,0,0,0,5,0,2,0,0
"before","BI4","BI4-A",1,0,0,0,0,1,0,1,0,0,0,0,0,77,0,0,0,0
"before","BI4","BI4-B",2,0,2,0,0,1,0,0,0,0,0,2,0,16,0,0,0,0
"before","BI4","BI4-C",5,0,0,0,0,2,0,0,0,0,1,1,0,11,0,0,0,0
"before","BI4","BI4-D",1,0,1,1,0,0,0,0,0,0,0,3,0,33,0,1,0,0
"after","BI6","BI6-A",6,0,0,0,1,1,0,12,0,0,0,0,0,8,0,0,0,1
"after","BI6","BI6-B",3,0,2,0,1,4,0,16,0,0,0,0,0,1,0,0,0,0
"after","BI6","BI6-C",0,0,83,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0
"after","BI6","BI6-D",0,0,575,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"before","BI6","BI6-A",1,0,17,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0
"before","BI6","BI6-B",0,0,84,0,0,2,0,0,0,0,0,0,6,2,0,0,0,0
"before","BI6","BI6-C",0,0,11,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
"before","BI6","BI6-D",3,0,61,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"after","BICN1","BICN1-A",0,0,0,0,0,0,0,5,0,0,0,1,0,3,0,1,0,0
"after","BICN1","BICN1-B",4,0,0,0,2,2,0,8,0,0,0,0,0,12,0,0,0,0
"after","BICN1","BICN1-C",2,0,0,0,0,2,0,3,0,0,0,0,0,5,0,0,0,0
"after","BICN1","BICN1-D",5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
