id,cases,disease,year,vaccine,event,event_date,head
0,18675,Diphtheria,1945,FALSE,,,TRUE
1,146013,Measles,1945,FALSE,,,TRUE
2,133792,Pertussis,1945,FALSE,,,TRUE
3,13624,Polio,1945,FALSE,,,TRUE
4,16354,Diphtheria,1946,FALSE,,,
5,659843,Measles,1946,FALSE,,,
6,109860,Pertussis,1946,FALSE,,,
7,25698,Polio,1946,FALSE,,,
8,12262,Diphtheria,1947,"Diphtheria toxoid is part of DT, the first combination childhood vaccine licensed.",Tetanus toxoid is licensed as part of DT childhood vaccine. ,1947,
9,222375,Measles,1947,FALSE,,,
10,156517,Pertussis,1947,FALSE,,,
11,10827,Polio,1947,FALSE,,,
12,9493,Diphtheria,1948,FALSE,,,
13,615104,Measles,1948,FALSE,,,
14,74715,Pertussis,1948,FALSE,,,
15,27726,Polio,1948,FALSE,,,
16,7969,Diphtheria,1949,FALSE,Last U.S. case of smallpox. ,1949,
17,625281,Measles,1949,FALSE,,,
18,69479,Pertussis,1949,Pertussis vaccine is part of first DTP childhood vaccine licensed.,,,
19,42033,Polio,1949,FALSE,,,
20,5796,Diphtheria,1950,FALSE,,,
21,319124,Measles,1950,FALSE,,,
22,120718,Pertussis,1950,FALSE,,,
23,33300,Polio,1950,FALSE,,,
24,3983,Diphtheria,1951,FALSE,,,
25,530118,Measles,1951,FALSE,,,
26,68687,Pertussis,1951,FALSE,,,
27,28386,Polio,1951,FALSE,,,
28,2960,Diphtheria,1952,FALSE,,,
29,683077,Measles,1952,FALSE,,,
30,45030,Pertussis,1952,FALSE,,,
31,57879,Polio,1952,FALSE,,,
32,2355,Diphtheria,1953,FALSE,,,
33,449146,Measles,1953,FALSE,,,
34,37129,Pertussis,1953,FALSE,,,
35,35592,Polio,1953,FALSE,,,
36,2041,Diphtheria,1954,FALSE,,,
37,682720,Measles,1954,FALSE,,,
38,60886,Pertussis,1954,FALSE,,,
39,38476,Polio,1954,FALSE,,,
40,1984,Diphtheria,1955,FALSE,Cutter incident: 202 are paralyzed or killed by vaccine with live polio virus in it. ,1955,
41,555156,Measles,1955,FALSE,,,
42,62786,Pertussis,1955,FALSE,,,
43,28985,Polio,1955,Jonas Salk's injectable polio vaccine is the first licensed. It uses killed virus. ,,,
44,1568,Diphtheria,1956,FALSE,,,
45,611936,Measles,1956,FALSE,,,
46,31732,Pertussis,1956,FALSE,,,
47,15140,Polio,1956,FALSE,,,
48,1211,Diphtheria,1957,FALSE,,,
49,486799,Measles,1957,FALSE,,,
50,28295,Pertussis,1957,FALSE,,,
51,5485,Polio,1957,FALSE,,,
52,918,Diphtheria,1958,FALSE,,,
53,763094,Measles,1958,FALSE,,,
54,32148,Pertussis,1958,FALSE,,,
55,5787,Polio,1958,FALSE,,,
56,934,Diphtheria,1959,FALSE,,,
57,406162,Measles,1959,FALSE,,,
58,40005,Pertussis,1959,FALSE,,,
59,8425,Polio,1959,FALSE,,,
60,918,Diphtheria,1960,FALSE,,,
61,441703,Measles,1960,FALSE,,,
62,14809,Pertussis,1960,FALSE,,,
63,3190,Polio,1960,FALSE,,,
64,617,Diphtheria,1961,FALSE,,,
65,423919,Measles,1961,FALSE,,,
66,11468,Pertussis,1961,FALSE,,,
67,1312,Polio,1961,"Albert Sabin's oral polio vaccine is licensed. It uses live, weakened virus. ",,,
68,444,Diphtheria,1962,FALSE,,,
69,481530,Measles,1962,FALSE,,,
70,17749,Pertussis,1962,FALSE,,,
71,910,Polio,1962,FALSE,,,
72,314,Diphtheria,1963,FALSE,New laws allow the U.S. to channel funds to states and localities for vaccination. ,1962&ndash;1963 ,
73,385156,Measles,1963,The first measles vaccines are licensed.,,,
74,17135,Pertussis,1963,FALSE,,,
75,449,Polio,1963,FALSE,,,
76,293,Diphtheria,1964,FALSE,,,
77,458083,Measles,1964,FALSE,,,
78,13005,Pertussis,1964,FALSE,,,
