Domain,Country,Element,Item,Year,Value
"Crops and livestock products","Cameroon","Export Quantity","Bananas","1994","165300"
"Crops and livestock products","Cameroon","Export Quantity","Bananas","1995","187294"
"Crops and livestock products","Cameroon","Export Quantity","Bananas","1996","160192"
"Crops and livestock products","Cameroon","Export Quantity","Bananas","1997","179698"
"Crops and livestock products","Cameroon","Export Quantity","Bananas","1998","134000"
"Crops and livestock products","Cameroon","Export Quantity","Bananas","1999","165000"
"Crops and livestock products","Cameroon","Export Quantity","Bananas","2000","238170"
"Crops and livestock products","Cameroon","Export Quantity","Bananas","2001","254102"
"Crops and livestock products","Cameroon","Export Quantity","Bananas","2002","238412"
"Crops and livestock products","Cameroon","Export Quantity","Bananas","2003","313723"
"Crops and livestock products","Cameroon","Export Quantity","Bananas","2004","294886"
"Crops and livestock products","Cameroon","Export Quantity","Bananas","2005","265457"
"Crops and livestock products","Colombia","Export Quantity","Bananas","1994","1703718"
"Crops and livestock products","Colombia","Export Quantity","Bananas","1995","1360278"
"Crops and livestock products","Colombia","Export Quantity","Bananas","1996","1476523"
"Crops and livestock products","Colombia","Export Quantity","Bananas","1997","1586029"
"Crops and livestock products","Colombia","Export Quantity","Bananas","1998","1408820"
"Crops and livestock products","Colombia","Export Quantity","Bananas","1999","1697518"
"Crops and livestock products","Colombia","Export Quantity","Bananas","2000","1564400"
"Crops and livestock products","Colombia","Export Quantity","Bananas","2001","1344231"
"Crops and livestock products","Colombia","Export Quantity","Bananas","2002","1460245"
"Crops and livestock products","Colombia","Export Quantity","Bananas","2003","1424819"
"Crops and livestock products","Colombia","Export Quantity","Bananas","2004","1471394"
"Crops and livestock products","Colombia","Export Quantity","Bananas","2005","1621746"
"Crops and livestock products","Costa Rica","Export Quantity","Bananas","1994","1868894"
"Crops and livestock products","Costa Rica","Export Quantity","Bananas","1995","2022134"
"Crops and livestock products","Costa Rica","Export Quantity","Bananas","1996","2102830"
"Crops and livestock products","Costa Rica","Export Quantity","Bananas","1997","2025549"
"Crops and livestock products","Costa Rica","Export Quantity","Bananas","1998","2288497"
"Crops and livestock products","Costa Rica","Export Quantity","Bananas","1999","2229700"
"Crops and livestock products","Costa Rica","Export Quantity","Bananas","2000","2079280"
"Crops and livestock products","Costa Rica","Export Quantity","Bananas","2001","1959272"
"Crops and livestock products","Costa Rica","Export Quantity","Bananas","2002","1873346"
"Crops and livestock products","Costa Rica","Export Quantity","Bananas","2003","2042570"
"Crops and livestock products","Costa Rica","Export Quantity","Bananas","2004","2016687"
"Crops and livestock products","Costa Rica","Export Quantity","Bananas","2005","1775519"
"Crops and livestock products","Ecuador","Export Quantity","Bananas","1994","3007925"
"Crops and livestock products","Ecuador","Export Quantity","Bananas","1995","3665182"
"Crops and livestock products","Ecuador","Export Quantity","Bananas","1996","3866079"
"Crops and livestock products","Ecuador","Export Quantity","Bananas","1997","4462099"
"Crops and livestock products","Ecuador","Export Quantity","Bananas","1998","3855643"
"Crops and livestock products","Ecuador","Export Quantity","Bananas","1999","3966126"
"Crops and livestock products","Ecuador","Export Quantity","Bananas","2000","3993968"
"Crops and livestock products","Ecuador","Export Quantity","Bananas","2001","3990427"
"Crops and livestock products","Ecuador","Export Quantity","Bananas","2002","4199156"
"Crops and livestock products","Ecuador","Export Quantity","Bananas","2003","4664814"
"Crops and livestock products","Ecuador","Export Quantity","Bananas","2004","4521458"
"Crops and livestock products","Ecuador","Export Quantity","Bananas","2005","4764193"
"Crops and livestock products","Guatemala","Export Quantity","Bananas","1994","567882"
"Crops and livestock products","Guatemala","Export Quantity","Bananas","1995","635503"
"Crops and livestock products","Guatemala","Export Quantity","Bananas","1996","611183"
"Crops and livestock products","Guatemala","Export Quantity","Bananas","1997","659392"
"Crops and livestock products","Guatemala","Export Quantity","Bananas","1998","794240"
"Crops and livestock products","Guatemala","Export Quantity","Bananas","1999","623583"
"Crops and livestock products","Guatemala","Export Quantity","Bananas","2000","801515"
"Crops and livestock products","Guatemala","Export Quantity","Bananas","2001","873829"
"Crops and livestock products","Guatemala","Export Quantity","Bananas","2002","980557"
"Crops and livestock products","Guatemala","Export Quantity","Bananas","2003","936114"
"Crops and livestock products","Guatemala","Export Quantity","Bananas","2004","1058161"
"Crops and livestock products","Guatemala","Export Quantity","Bananas","2005","1129477"
"Crops and livestock products","Honduras","Export Quantity","Bananas","1994","445612"
"Crops and livestock products","Honduras","Export Quantity","Bananas","1995","521637"
"Crops and livestock products","Honduras","Export Quantity","Bananas","1996","573710"
"Crops and livestock products","Honduras","Export Quantity","Bananas","1997","488671"
"Crops and livestock products","Honduras","Export Quantity","Bananas","1998","467281"
"Crops and livestock products","Honduras","Export Quantity","Bananas","1999","112678"
"Crops and livestock products","Honduras","Export Quantity","Bananas","2000","374964"
"Crops and livestock products","Honduras","Export Quantity","Bananas","2001","428605"
"Crops and livestock products","Honduras","Export Quantity","Bananas","2002","441407"
"Crops and livestock products","Honduras","Export Quantity","Bananas","2003","453164"
"Crops and livestock products","Honduras","Export Quantity","Bananas","2004","571686"
"Crops and livestock products","Honduras","Export Quantity","Bananas","2005","545527"
"Crops and livestock products","Panama","Export Quantity","Bananas","1994","712248"
"Crops and livestock products","Panama","Export Quantity","Bananas","1995","690017"
"Crops and livestock products","Panama","Export Quantity","Bananas","1996","631953"
"Crops and livestock products","Panama","Export Quantity","Bananas","1997","608208"
"Crops and livestock products","Panama","Export Quantity","Bananas","1998","462415"
"Crops and livestock products","Panama","Export Quantity","Bananas","1999","593364"
"Crops and livestock products","Panama","Export Quantity","Bananas","2000","489284"
"Crops and livestock products","Panama","Export Quantity","Bananas","2001","426081"
"Crops and livestock products","Panama","Export Quantity","Bananas","2002","403923"
"Crops and livestock products","Panama","Export Quantity","Bananas","2003","385320"
"Crops and livestock products","Panama","Export Quantity","Bananas","2004","397940"
"Crops and livestock products","Panama","Export Quantity","Bananas","2005","352480"
"Crops and livestock products","Philippines","Export Quantity","Bananas","1994","1155182"
"Crops and livestock products","Philippines","Export Quantity","Bananas","1995","1213411"
"Crops and livestock products","Philippines","Export Quantity","Bananas","1996","1252196"
"Crops and livestock products","Philippines","Export Quantity","Bananas","1997","1143336"
"Crops and livestock products","Philippines","Export Quantity","Bananas","1998","1149552"
"Crops and livestock products","Philippines","Export Quantity","Bananas","1999","1319632"
"Crops and livestock products","Philippines","Export Quantity","Bananas","2000","1599920"
"Crops and livestock products","Philippines","Export Quantity","Bananas","2001","2129309"
"Crops and livestock products","Philippines","Export Quantity","Bananas","2002","1684986"
"Crops and livestock products","Philippines","Export Quantity","Bananas","2003","1829384"
"Crops and livestock products","Philippines","Export Quantity","Bananas","2004","1797343"
"Crops and livestock products","Philippines","Export Quantity","Bananas","2005","2024322"
"Crops and livestock products","United Arab Emirates","Export Quantity","Bananas","1994","10262"
"Crops and livestock products","United Arab Emirates","Export Quantity","Bananas","1995","15387"
"Crops and livestock products","United Arab Emirates","Export Quantity","Bananas","1996","12753"
"Crops and livestock products","United Arab Emirates","Export Quantity","Bananas","1997","60000"
"Crops and livestock products","United Arab Emirates","Export Quantity","Bananas","1998","40000"
"Crops and livestock products","United Arab Emirates","Export Quantity","Bananas","1999","35000"
"Crops and livestock products","United Arab Emirates","Export Quantity","Bananas","2000","30000"
"Crops and livestock products","United Arab Emirates","Export Quantity","Bananas","2001","47000"
"Crops and livestock products","United Arab Emirates","Export Quantity","Bananas","2002","7700"
"Crops and livestock products","United Arab Emirates","Export Quantity","Bananas","2003","3337"
"Crops and livestock products","United Arab Emirates","Export Quantity","Bananas","2004","110000"
"Crops and livestock products","United Arab Emirates","Export Quantity","Bananas","2005","110000"
"Crops and livestock products","United States of America","Export Quantity","Bananas","1994","383216"
"Crops and livestock products","United States of America","Export Quantity","Bananas","1995","397546"
"Crops and livestock products","United States of America","Export Quantity","Bananas","1996","408741"
"Crops and livestock products","United States of America","Export Quantity","Bananas","1997","418823"
"Crops and livestock products","United States of America","Export Quantity","Bananas","1998","416520"
"Crops and livestock products","United States of America","Export Quantity","Bananas","1999","418813"
"Crops and livestock products","United States of America","Export Quantity","Bananas","2000","400188"
"Crops and livestock products","United States of America","Export Quantity","Bananas","2001","406968"
"Crops and livestock products","United States of America","Export Quantity","Bananas","2002","416600"
"Crops and livestock products","United States of America","Export Quantity","Bananas","2003","427543"
"Crops and livestock products","United States of America","Export Quantity","Bananas","2004","445757"
"Crops and livestock products","United States of America","Export Quantity","Bananas","2005","449647"
